family,policy,continuity_mean,ci_low,ci_high
high_blockage,no_adaptation,0.5971598399316926,0.5919747533277352,0.6023449265356501
high_blockage,rule_based,0.6184241465708677,0.6136773830949264,0.6231709100468091
high_blockage,twin_informed,0.615910336434104,0.6139948792057963,0.6178257936624116
high_blockage,information_equivalent,0.6310418735947361,0.6261134824215357,0.6359702647679364
high_blockage,oracle,0.6276135623769056,0.6246499068031435,0.6305772179506677
energy_constrained,no_adaptation,0.8066155789093108,0.8035741707881594,0.8096569870304622
energy_constrained,rule_based,0.8041025219247768,0.8015112034636677,0.806693840385886
energy_constrained,twin_informed,0.7909579788517951,0.7883078649871081,0.793608092716482
energy_constrained,information_equivalent,0.8273861193425752,0.8246739708513973,0.8300982678337532
energy_constrained,oracle,0.8270809661450038,0.8247959892105542,0.8293659430794534
outage_heavy,no_adaptation,0.6709013167530856,0.665775571653767,0.6760270618524042
outage_heavy,rule_based,0.6830566265060624,0.6791516745945457,0.686961578417579
outage_heavy,twin_informed,0.7046265561289696,0.7008676684519597,0.7083854438059796
outage_heavy,information_equivalent,0.7018576107913936,0.6972258560977845,0.7064893654850027
outage_heavy,oracle,0.7132953683040018,0.7095367361989116,0.717054000409092
