policy,continuity_mean,continuity_ci_low,continuity_ci_high,latency_ms_mean,switch_cost_mean,compute_time_ms_mean,cohens_d_vs_no_adaptation
no_adaptation,0.7965035927650915,0.7910127110214761,0.801994474508707,86.3483390827324,0.165,0.008549540264842411,0.0
static,0.8159948123345722,0.8129088893904503,0.8190807352786941,81.65840217942868,0.0,0.0030064334472020464,5.433907066520807
local_only,0.6758650307947001,0.6691652249132788,0.6825648366761213,148.30078508988962,0.0,0.009070724384703983,-24.454961476395
cloud_only,0.7714552361430915,0.7627066436639306,0.7802038286222525,98.17760329923712,0.165,0.008807675233886886,-4.2583489296041295
edge_only,0.8143381461010268,0.8104964635166382,0.8181798286854155,81.56543179943928,0.0,0.020809114115157477,4.673238871281224
rule_based,0.7941235016954672,0.7885458298375987,0.7997011735533357,81.00609423379284,0.36975,0.020586357277352363,-0.5339780885328239
optimization_based,0.7965035933738065,0.7910127125809898,0.8019944741666232,86.34833879109462,0.165,4.32251483774356,1.3764993689899167e-07
twin_informed,0.7839581531066788,0.7805377842445056,0.787378521968852,81.9812572186828,0.4833333333333333,6.195674402018389,-3.4053672778749307
information_equivalent,0.8184698106605761,0.8134561526746354,0.8234834686465168,75.08551224585426,0.165,0.07568695582449436,5.187577933742921
oracle,0.8185493456415026,0.8140069454745679,0.8230917458084374,78.56324412392095,0.03958333333333334,1.9554455036995932,5.432304035767749
fixed_target_fidelity,0.7965035927650915,0.7910127110214761,0.801994474508707,86.3483390827324,0.165,0.018143985653296113,0.0
adaptive_fidelity,0.7419816695355589,0.7336707534601863,0.7502925856109315,80.47769669333823,0.6153333333333333,4.259953480989983,-9.611434635943171
checkpoint_disabled,0.6822976798004345,0.6775554124158346,0.6870399471850345,82.2365134121261,0.165,0.015573194832541049,-27.641037955256447
adaptive_checkpoint,0.623748591250806,0.6183529521945329,0.629144230307079,77.88761111584549,1.2459166666666666,4.268292035461249,-39.40569467742169
