policy,continuity_mean,continuity_ci_low,continuity_ci_high,latency_ms_mean,switch_cost_mean,compute_time_ms_mean,cohens_d_vs_no_adaptation
no_adaptation,0.7959779300122474,0.7938045715641326,0.7981512884603621,86.39230864676851,0.16750000000000004,0.00819203172189494,0.0
static,0.8142556255877984,0.8106045545895374,0.8179066965860594,82.40947163787855,0.0,0.0026740191970020533,7.55363745000976
local_only,0.6753131015934178,0.6706674157610383,0.6799587874257974,148.40591390349206,0.0,0.010691231485301007,-41.31172578341435
cloud_only,0.7711929245873146,0.7664031053634068,0.7759827438112223,98.04029832163485,0.16750000000000004,0.009469047169356298,-8.274391315018296
edge_only,0.8139204163611048,0.8113761302783362,0.8164647024438734,81.62325264692065,0.0,0.02075481558373819,9.415713303145717
rule_based,0.7940453446033819,0.7912670205404398,0.796823668666324,80.87325170426662,0.3705,0.021587580461831145,-0.9620612221001282
optimization_based,0.7959779308717723,0.7938045713795595,0.798151290363985,86.39230823525581,0.16750000000000004,6.528777499139929,4.910560718245278e-07
twin_informed,0.7843208201862789,0.7812574187120734,0.7873842216604844,81.95045455241663,0.47350000000000003,4.479742651164997,-5.449774714288404
information_equivalent,0.8179451588211719,0.8159465821151467,0.8199437355271971,75.12374664936392,0.16750000000000004,0.07224089204100892,13.064446494204597
oracle,0.8180097535096582,0.8164620805772334,0.8195574264420831,78.6666747028971,0.04041666666666667,2.089872256813881,14.499959593623228
fixed_target_fidelity,0.7959779300122474,0.7938045715641326,0.7981512884603621,86.39230864676851,0.16750000000000004,0.015870627733723573,0.0
adaptive_fidelity,0.7424786289903722,0.7345145628744567,0.7504426951062877,80.47064829371463,0.6075,4.248800713685341,-11.379804132488555
checkpoint_disabled,0.6818277426646083,0.6798865102321826,0.683768975097034,82.27838918739857,0.16750000000000004,0.01727528045497214,-68.7850471412583
adaptive_checkpoint,0.6230911879841348,0.6190612990951123,0.6271210768731572,77.82444627515099,1.238,4.418508677917998,-66.30541075512595
